id_artista,name,followers,genres
1,Billie Eilish,68407227.0,"art pop, electropop, pop"
2,Drake,66852536.0,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
3,Eminem,59184634.0,"detroit hip hop, hip hop, rap"
4,Arijit Singh,58523986.0,"desi pop, filmi, modern bollywood"
5,Rihanna,50002769.0,"barbadian pop, dance pop, pop, urban contemporary"
6,The Weeknd,49387909.0,"canadian contemporary r&b, canadian pop, pop"
7,Queen,42644068.0,"classic rock, glam rock, rock"
8,Adele,42174621.0,"british soul, pop, pop soul, uk pop"
9,Shawn Mendes,39186962.0,"canadian pop, dance pop, pop, viral pop"
10,Post Malone,38085069.0,"dfw rap, melodic rap, rap"
11,Neha Kakkar,37695348.0,"desi pop, filmi, modern bollywood"
12,Selena Gomez,37269207.0,"dance pop, pop, post-teen pop, uk pop"
13,Dua Lipa,36163788.0,"dance pop, pop, uk pop"
14,J Balvin,35224872.0,"reggaeton, reggaeton colombiano, trap latino"
15,Marshmello,34229273.0,"brostep, dance pop, edm, pop, pop dance, progressive electro house"
16,Ozuna,33511653.0,"puerto rican pop, reggaeton, trap latino"
17,Maluma,32165351.0,"reggaeton, reggaeton colombiano, trap latino"
18,Beyoncé,32087569.0,"dance pop, pop, r&b"
19,Daddy Yankee,29446452.0,"latin hip hop, reggaeton, trap latino"
20,Camila Cabello,27956268.0,"dance pop, pop, post-teen pop, uk pop"
21,One Direction,27287402.0,"boy band, pop, post-teen pop, talent show"
22,Nicki Minaj,26039960.0,"dance pop, hip pop, pop, queens hip hop, rap"
23,Guns N' Roses,25796418.0,"glam metal, hard rock, rock"
24,Shakira,24902736.0,"colombian pop, dance pop, latin pop"
25,David Guetta,24692289.0,"big room, dance pop, edm, pop, pop dance"
26,AC/DC,24321731.0,"australian rock, hard rock, rock"
27,Sia,24304639.0,"australian dance, australian pop, dance pop, pop"
28,Michael Jackson,24070351.0,"pop, r&b, soul"
29,A.R. Rahman,23828027.0,"desi pop, filmi, modern bollywood"
30,Anuel AA,23825538.0,"reggaeton, reggaeton flow, trap boricua, trap latino"
31,The Beatles,23534961.0,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock"
32,Demi Lovato,23189982.0,"dance pop, pop, post-teen pop, uk pop"
33,Lady Gaga,23126039.0,"art pop, dance pop, pop"
34,Calvin Harris,22819977.0,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
35,Metallica,22119035.0,"hard rock, metal, old school thrash, rock, thrash metal"
36,Avicii,22055236.0,"dance pop, edm, pop, pop dance, pop rap"
37,Linkin Park,21701335.0,"alternative metal, nu metal, post-grunge, rap metal"
38,Kendrick Lamar,21389956.0,"conscious hip hop, hip hop, rap, west coast rap"
39,ZAYN,21261196.0,"dance pop, pop, post-teen pop, uk pop"
40,Badshah,21078215.0,"desi hip hop, desi pop, desi trap, haryanvi pop, modern bollywood"
41,Travis Scott,20990560.0,"hip hop, rap, slap house"
42,Cardi B,20361435.0,"dance pop, pop, rap"
43,Sam Smith,20100976.0,"dance pop, pop, uk pop"
44,The Chainsmokers,19441428.0,"dance pop, edm, electropop, pop, pop dance, tropical house"
